Rank,Name,Company,Annual.pay,Age
211,Samuel R Allen,Deere & Co,8.3,58
212,James D Taiclet Jr,American Tower,8.285,51
213,Thomas J Quinlan III,RR Donnelley & Sons,8.205,49
214,Richard J Kramer,Goodyear Tire & Rubber,8.19,48
215,Michael T Strianese,L-3 Communications Holdings,8.16,56
216,Joseph W Saunders,Visa,8.13,49
217,Clayton M Jones,Rockwell Collins,8.09,62
218,John G Stumpf,Wells Fargo,7.93,58
219,William P Utt,KBR,7.9,55
220,David P King,Laboratory Corp of America,7.89,55
221,Timothy J Naughton,Avalonbay Communities,7.865,50
222,John S Watson,Chevron,7.805,55
223,Kevin R Johnson,Juniper Networks,7.78,51
224,Steven A Burd,Safeway,7.755,62
225,Jeffrey R Immelt,General Electric,7.75,56
226,Vikram S Pandit,Citigroup,7.72,55
227,Howard R Levine,Family Dollar Stores,7.7,53
228,Michael R Splinter,Applied Materials,7.67,61
229,James J Murren,MGM Resorts International,7.655,50
230,Timothy L Main,Jabil Circuit,7.58,54
231,Timothy A Leach,Concho Resources,7.485,52
232,Leslie H Wexner,Limited Brands,7.47,74
233,Thomas R Watjen,Unum Group,7.425,57
234,Gregory J Goff,Tesoro,7.39,55
235,John W Gibson,Oneok,7.37,60
236,Kendall J Powell,General Mills,7.35,58
237,Jeff M Fettig,Whirlpool,7.33,55
238,Richard K Smucker,JM Smucker,7.32,64
239,James J Volker,Whiting Petroleum,7.29,65
240,Richard P Wallace,KLA-Tencor,7.24,52
241,William R Klesse,Valero Energy,7.23,65
242,Mark B Templeton,Citrix Systems,7.215,59
243,D Scott Davis,United Parcel Service,7.2,60
244,Thomas E Jorden,Cimarex Energy,7.115,54
245,Frits D van Paasschen,Starwood Hotels & Resorts,7.11,50
246,John P Bilbrey,Hershey,7.05,55
247,Brian Duperreault,Marsh & McLennan Cos,7.045,64
248,Robert H Benmosche,American International Group,7.025,68
249,Gary W Loveman,Caesars Entertainment,6.97,51
250,Howard Solomon,Forest Laboratories,6.97,84
251,Arne N Sorenson,Marriott International,6.965,53
252,Wendell P Weeks,Corning,6.93,52
253,James F Flaherty III,HCP,6.93,54
254,Peter J Rose,Expeditors International of Washington,6.81,69
255,Jeffrey C Sprecher,IntercontinentalExchange,6.765,57
256,David T Seaton,Fluor,6.75,50
257,George S Barrett,Cardinal Health,6.69,57
258,David M Wood,Murphy Oil,6.645,54
259,Marshall O Larsen,Goodrich,6.62,63
260,Daniel R Hesse,Sprint Nextel,6.605,59
261,Michael J Long,Arrow Electronics,6.59,52
262,Michael I Roth,Interpublic Group of Cos,6.595,66
263,Richard K Davis,US Bancorp,6.58,54
264,Enrique T Salem,Symantec,6.56,46
265,Brad D Smith,Intuit,6.55,48
266,Richard T O'Brien,Newmont Mining,6.52,57
267,David Simon,Simon Property Group,6.515,50
268,Jack B Moore,Cameron International,6.46,58
269,Carl H Lindner III,American Financial Group,6.445,58
270,Jeffery R Gardner,Windstream,6.405,52
271,W Edward Walter,Host Hotels & Resorts,6.395,56
272,Donald R Knauss,Clorox,6.37,60
273,John T Gremp,FMC Technologies,6.25,61
274,John J Koraleski,Union Pacific,6.225,61
275,Anthony J Alexander,FirstEnergy,6.165,60
276,John A Luke Jr,MeadWestvaco,6.14,63
277,Murray D Martin,Pitney Bowes,6.12,64
278,James P Rogers,Eastman Chemical,6.12,61
279,William M Brown,Harris,6.1,49
280,Raymond W McDaniel Jr,Moody's,6.09,54
281,Shantanu Narayen,Adobe Systems,6.09,48
282,Benjamin G S Fowke III,Xcel Energy,6.066,54
283,Lothar Maier,Linear Technology,6.06,56
284,Thomas C Gallagher,Genuine Parts,6.05,64
285,John A Hayes,Ball,6.02,46
286,Douglas R Oberhelman,Caterpillar,6.005,59
287,Ajay S Banga,MasterCard,5.985,52
288,Denis J Salamone,Hudson City Bancorp,5.976,59
289,Kenneth C Frazier,Merck & Co,5.935,57
290,Robert B Pollock,Assurant,5.915,57
291,David B Speer,Illinois Tool Works,5.87,61
292,Steve Sanghi,Microchip Technology,5.84,56
293,Michael F Koehler,Teradata,5.83,59
294,Jay M Gellert,Health Net,5.795,58
295,Gerald L Hassell,Bank of New York Mellon,5.776,60
296,Richard M Bracken,HCA Holdings,5.76,59
297,W Craig Jelinek,Costco Wholesale,5.756,60
298,Michael D White,DirecTV,5.74,59
299,Stephen R Wilson,CF Industries Holdings,5.705,63
300,Francis S Blake,Home Depot,5.675,62
301,Neil A Berkett,Virgin Media,5.675,56
302,Jay L Johnson,General Dynamics,5.6,65
303,Mark S McAndrew,Torchmark,5.6,61
304,Harold G Hamm,Continental Resources,5.495,66
305,Gerard M Anderson,DTE Energy,5.4,54
306,John P Wiehoff,CH Robinson Worldwide,5.38,50
307,Robert A Niblock,Lowe's Cos,5.355,49
308,Michael J Williams,Fannie Mae,5.3,53
309,Ralph Izzo,Public Service Enterprise Group,5.27,54
310,Kevin Mansell,Kohl's,5.27,59
311,Robert Greifeld,Nasdaq OMX Group,5.255,54
312,David P Steiner,Waste Management,5.195,51
313,Douglas L Foshee,El Paso,5.195,52
314,David C Dvorak,Zimmer Holdings,5.11,48
315,William D Johnson,Progress Energy,5.105,58
316,Gregory L Henslee,O'Reilly Automotive,5.08,51
317,Robert A McDonald,Procter & Gamble,5.07,58
318,Dennis R Glass,Lincoln National,5.045,62
319,Ilene S Gordon,Corn Products International,5.025,58
320,Jeffrey M Ettinger,Hormel Foods,5.02,53
321,John A Bryant,Kellogg,4.97,46
322,Gregg L Engles,Dean Foods,4.95,54
323,Duncan L Niederauer,NYSE Euronext,4.915,52
324,Robert G Wilmers,M&T Bank,4.86,78
325,Mary A Wilderotter,Frontier Communications,4.855,57
326,Ralph W Babb Jr,Comerica,4.82,63
327,Robert J Hugin,Celgene,4.815,57
328,Lee K Boothby,Newfield Exploration,4.79,50
329,Mark T Bertolini,Aetna,4.765,56
330,Klaus Kleinfeld,Alcoa,4.75,54
331,Larry D Zimpleman,Principal Financial Group,4.72,60
332,Liam E McGee,Hartford Financial Services,4.715,57
333,Mark G Papa,EOG Resources,4.695,65
334,N Thomas Linebarger,Cummins,4.656,49
335,Donald J Stebbins,Visteon,4.655,54
336,Gary M Rodkin,ConAgra Foods,4.64,60
337,John P Surma,US Steel,4.63,57
338,Martin H Richenhagen,AGCO,4.625,60
339,Thomas J Folliard,CarMax,4.61,47
340,Hamid R Moghadam,Prologis,4.59,55
341,Matthew J Simoncini,Lear,4.585,51
342,A Greig Woodring,Reinsurance Group of America,4.445,60
343,W Benjamin Moreland,Crown Castle International,4.435,48
344,J Paul Raines,GameStop,4.405,48
345,Martin S Craighead,Baker Hughes,4.396,52
346,Jeffery A Smisek,United Continental Holdings,4.365,58
347,Michael S Dell,Dell,4.355,47
348,Robert M Dutkowsky,Tech Data,4.345,57
349,Donnie Smith,Tyson Foods,4.3,53
350,Gregory D Wasson,Walgreen,4.3,53
351,Clarence Otis Jr,Darden Restaurants,4.29,56
352,Kelly S King,BB&T,4.28,63
